datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
260627172359.638,10.420,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172359.759,10.540,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172359.880,10.660,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172359.998,10.780,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172400.117,10.900,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172400.237,11.020,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172400.359,11.140,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172400.478,11.260,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172400.600,11.380,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172400.718,11.500,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172400.838,11.620,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172400.958,11.740,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172401.080,11.860,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172401.198,11.980,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172401.319,12.100,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172401.439,12.220,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172401.558,12.340,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172401.680,12.460,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172401.798,12.580,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172401.920,12.700,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172402.038,12.820,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172402.159,12.940,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172402.278,13.060,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172402.399,13.180,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172402.517,13.300,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172402.638,13.420,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172402.760,13.540,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172402.878,13.660,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172402.998,13.780,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172403.117,13.900,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172403.239,14.020,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172403.358,14.140,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172403.480,14.260,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172405.420,14.380,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172405.513,14.500,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172405.633,14.620,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172405.754,14.740,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172405.871,14.860,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172405.992,14.980,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172406.112,15.100,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172406.230,15.220,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172406.351,15.340,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172406.472,15.460,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172406.593,15.580,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172406.711,15.700,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172406.830,15.820,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172406.952,15.940,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172407.072,16.060,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172407.190,16.180,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172407.311,16.300,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172407.431,16.420,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
